All Data,,,,https://docs.google.com/spreadsheets/d/1h0duUBjW9TodESqnlJPdLuK9jl0RrSVYBI7R_S05M0M/edit#gid=2025921830,Filtered Data,,Full Data,,,First 2 Lines,,,First 3 Lines,,,First 4 Lines,
Weekday,Formation,Region,Patpm,,,,Weekday,Count,,Weekday,Count,,Weekday,Count,,Weekday,Count
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44440,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43230,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41410,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43100,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41200,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42310,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41200,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42310,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42230,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44400,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42120,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41100,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44200,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44200,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43210,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41100,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43200,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43200,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41100,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44400,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41300,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44220,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41300,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44300,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41340,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44420,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41330,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43100,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41200,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43110,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41240,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44300,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44240,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41340,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44420,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41330,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43100,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41200,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43110,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41240,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44300,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42400,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42200,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,44240,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43210,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43100,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41100,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43200,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44200,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41200,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43100,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43420,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42220,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44400,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43200,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43400,EU,3.6,2str,43,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41300,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44400,EU,3.6,2str,44,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,43300,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,43200,EU,3.6,2str,43,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Friday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,41000,EU,3.6,2str,41,,,,,,,,,,,,
Friday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Friday,44000,EU,3.6,2str,44,,,,,,,,,,,,
Sunday,41341,EU,3.6,3str,413,,,,,,,,,,,,
Sunday,41342,EU,3.6,3str,413,,,,,,,,,,,,
Sunday,41342,EU,3.6,3str,413,,,,,,,,,,,,
Sunday,42230,EU,3.6,2str,42,,,,,,,,,,,,
Sunday,42241,EU,3.6,3str,422,,,,,,,,,,,,
Sunday,42321,EU,3.6,3str,423,,,,,,,,,,,,
Sunday,43221,EU,3.6,3str,432,,,,,,,,,,,,
Sunday,43313,EU,3.6,3str,433,,,,,,,,,,,,
Sunday,44134,EU,3.6,3str,441,,,,,,,,,,,,
Sunday,44144,EU,3.6,3str,441,,,,,,,,,,,,
Sunday,44334,EU,3.6,3str,443,,,,,,,,,,,,
Sunday,44444,EU,3.6,3str,444,,,,,,,,,,,,
Monday,41121,EU,3.6,3str,411,,,,,,,,,,,,
Monday,44232,EU,3.6,3str,442,,,,,,,,,,,,
Monday,44234,EU,3.6,3str,442,,,,,,,,,,,,
Monday,44433,EU,3.6,3str,444,,,,,,,,,,,,
Monday,44444,EU,3.6,3str,444,,,,,,,,,,,,
Tuesday,41133,EU,3.6,3str,411,,,,,,,,,,,,
Tuesday,41142,EU,3.6,3str,411,,,,,,,,,,,,
Tuesday,41211,EU,3.6,3str,412,,,,,,,,,,,,
Tuesday,42232,EU,3.6,3str,422,,,,,,,,,,,,
Tuesday,44421,EU,3.6,3str,444,,,,,,,,,,,,
Wednesday,41114,EU,3.6,3str,411,,,,,,,,,,,,
Wednesday,41122,EU,3.6,3str,411,,,,,,,,,,,,
Wednesday,41412,EU,3.6,3str,414,,,,,,,,,,,,
Wednesday,41432,EU,3.6,3str,414,,,,,,,,,,,,
Wednesday,42413,EU,3.6,3str,424,,,,,,,,,,,,
Wednesday,43132,EU,3.6,3str,431,,,,,,,,,,,,
Wednesday,43210,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43432,EU,3.6,3str,434,,,,,,,,,,,,
Wednesday,44113,EU,3.6,3str,441,,,,,,,,,,,,
Wednesday,44313,EU,3.6,3str,443,,,,,,,,,,,,
Wednesday,44331,EU,3.6,3str,443,,,,,,,,,,,,
Wednesday,44432,EU,3.6,3str,444,,,,,,,,,,,,
Thursday,41140,EU,3.6,2str,41,,,,,,,,,,,,
Thursday,41312,EU,3.6,3str,413,,,,,,,,,,,,
Thursday,41344,EU,3.6,3str,413,,,,,,,,,,,,
Thursday,41421,EU,3.6,3str,414,,,,,,,,,,,,
Thursday,42124,EU,3.6,3str,421,,,,,,,,,,,,
Thursday,42143,EU,3.6,3str,421,,,,,,,,,,,,
Thursday,42212,EU,3.6,3str,422,,,,,,,,,,,,
Thursday,42411,EU,3.6,3str,424,,,,,,,,,,,,
Thursday,42412,EU,3.6,3str,424,,,,,,,,,,,,
Thursday,42434,EU,3.6,3str,424,,,,,,,,,,,,
Thursday,42441,EU,3.6,3str,424,,,,,,,,,,,,
Thursday,43144,EU,3.6,3str,431,,,,,,,,,,,,
Thursday,43231,EU,3.6,3str,432,,,,,,,,,,,,
Thursday,43243,EU,3.6,3str,432,,,,,,,,,,,,
Thursday,43320,EU,3.6,2str,43,,,,,,,,,,,,
Thursday,43331,EU,3.6,3str,433,,,,,,,,,,,,
Thursday,43443,EU,3.6,3str,434,,,,,,,,,,,,
Thursday,44242,EU,3.6,3str,442,,,,,,,,,,,,
Thursday,44322,EU,3.6,3str,443,,,,,,,,,,,,
Thursday,44323,EU,3.6,3str,443,,,,,,,,,,,,
Thursday,44332,EU,3.6,3str,443,,,,,,,,,,,,
Thursday,44341,EU,3.6,3str,443,,,,,,,,,,,,
Friday,41113,EU,3.6,3str,411,,,,,,,,,,,,
Friday,42141,EU,3.6,3str,421,,,,,,,,,,,,
Friday,42322,EU,3.6,3str,423,,,,,,,,,,,,
Friday,42334,EU,3.6,3str,423,,,,,,,,,,,,
Friday,43121,EU,3.6,3str,431,,,,,,,,,,,,
Friday,43233,EU,3.6,3str,432,,,,,,,,,,,,
Friday,44131,EU,3.6,3str,441,,,,,,,,,,,,
Saturday,41112,EU,3.6,3str,411,,,,,,,,,,,,
Saturday,41134,EU,3.6,3str,411,,,,,,,,,,,,
Saturday,41244,EU,3.6,3str,412,,,,,,,,,,,,
Saturday,41311,EU,3.6,3str,413,,,,,,,,,,,,
Saturday,41322,EU,3.6,3str,413,,,,,,,,,,,,
Saturday,41411,EU,3.6,3str,414,,,,,,,,,,,,
Saturday,41424,EU,3.6,3str,414,,,,,,,,,,,,
Saturday,41442,EU,3.6,3str,414,,,,,,,,,,,,
Saturday,42132,EU,3.6,3str,421,,,,,,,,,,,,
Saturday,42224,EU,3.6,3str,422,,,,,,,,,,,,
Saturday,42313,EU,3.6,3str,423,,,,,,,,,,,,
Saturday,43123,EU,3.6,3str,431,,,,,,,,,,,,
Saturday,43142,EU,3.6,3str,431,,,,,,,,,,,,
Saturday,43211,EU,3.6,3str,432,,,,,,,,,,,,
Saturday,43322,EU,3.6,3str,433,,,,,,,,,,,,
Saturday,43342,EU,3.6,3str,433,,,,,,,,,,,,
Saturday,44124,EU,3.6,3str,441,,,,,,,,,,,,
Saturday,44212,EU,3.6,3str,442,,,,,,,,,,,,
Saturday,44423,EU,3.6,3str,444,,,,,,,,,,,,
Sunday,41100,EU,3.6,2str,41,,,,,,,,,,,,
Sunday,41310,EU,3.6,2str,41,,,,,,,,,,,,
Sunday,41320,EU,3.6,2str,41,,,,,,,,,,,,
Sunday,41341,EU,3.6,3str,413,,,,,,,,,,,,
Sunday,41342,EU,3.6,3str,413,,,,,,,,,,,,
Sunday,41342,EU,3.6,3str,413,,,,,,,,,,,,
Sunday,41410,EU,3.6,2str,41,,,,,,,,,,,,
Sunday,42230,EU,3.6,2str,42,,,,,,,,,,,,
Sunday,42241,EU,3.6,3str,422,,,,,,,,,,,,
Sunday,42310,EU,3.6,2str,42,,,,,,,,,,,,
Sunday,42321,EU,3.6,3str,423,,,,,,,,,,,,
Sunday,42420,EU,3.6,2str,42,,,,,,,,,,,,
Sunday,43220,EU,3.6,2str,43,,,,,,,,,,,,
Sunday,43221,EU,3.6,3str,432,,,,,,,,,,,,
Sunday,43230,EU,3.6,2str,43,,,,,,,,,,,,
Sunday,43230,EU,3.6,2str,43,,,,,,,,,,,,
Sunday,43313,EU,3.6,3str,433,,,,,,,,,,,,
Sunday,43320,EU,3.6,2str,43,,,,,,,,,,,,
Sunday,44134,EU,3.6,3str,441,,,,,,,,,,,,
Sunday,44140,EU,3.6,2str,44,,,,,,,,,,,,
Sunday,44144,EU,3.6,3str,441,,,,,,,,,,,,
Sunday,44334,EU,3.6,3str,443,,,,,,,,,,,,
Sunday,44340,EU,3.6,2str,44,,,,,,,,,,,,
Sunday,44340,EU,3.6,2str,44,,,,,,,,,,,,
Sunday,44444,EU,3.6,3str,444,,,,,,,,,,,,
Monday,41121,EU,3.6,3str,411,,,,,,,,,,,,
Monday,41242,EU,3.6,3str,412,,,,,,,,,,,,
Monday,41320,EU,3.6,2str,41,,,,,,,,,,,,
Monday,41420,EU,3.6,2str,41,,,,,,,,,,,,
Monday,42130,EU,3.6,2str,42,,,,,,,,,,,,
Monday,42320,EU,3.6,2str,42,,,,,,,,,,,,
Monday,42340,EU,3.6,2str,42,,,,,,,,,,,,
Monday,42430,EU,3.6,2str,42,,,,,,,,,,,,
Monday,43000,EU,3.6,2str,43,,,,,,,,,,,,
Monday,43110,EU,3.6,2str,43,,,,,,,,,,,,
Monday,43130,EU,3.6,2str,43,,,,,,,,,,,,
Monday,43210,EU,3.6,2str,43,,,,,,,,,,,,
Monday,43240,EU,3.6,2str,43,,,,,,,,,,,,
Monday,43310,EU,3.6,2str,43,,,,,,,,,,,,
Monday,44232,EU,3.6,3str,442,,,,,,,,,,,,
Monday,44232,EU,3.6,3str,442,,,,,,,,,,,,
Monday,44234,EU,3.6,3str,442,,,,,,,,,,,,
Monday,44320,EU,3.6,2str,44,,,,,,,,,,,,
Monday,44433,EU,3.6,3str,444,,,,,,,,,,,,
Monday,44434,EU,3.6,3str,444,,,,,,,,,,,,
Monday,44444,EU,3.6,3str,444,,,,,,,,,,,,
Tuesday,41130,EU,3.6,2str,41,,,,,,,,,,,,
Tuesday,41133,EU,3.6,3str,411,,,,,,,,,,,,
Tuesday,41142,EU,3.6,3str,411,,,,,,,,,,,,
Tuesday,41211,EU,3.6,3str,412,,,,,,,,,,,,
Tuesday,41220,EU,3.6,2str,41,,,,,,,,,,,,
Tuesday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Tuesday,42220,EU,3.6,2str,42,,,,,,,,,,,,
Tuesday,42232,EU,3.6,3str,422,,,,,,,,,,,,
Tuesday,42320,EU,3.6,2str,42,,,,,,,,,,,,
Tuesday,42424,EU,3.6,3str,424,,,,,,,,,,,,
Tuesday,43220,EU,3.6,2str,43,,,,,,,,,,,,
Tuesday,43240,EU,3.6,2str,43,,,,,,,,,,,,
Tuesday,43334,EU,3.6,3str,433,,,,,,,,,,,,
Tuesday,44421,EU,3.6,3str,444,,,,,,,,,,,,
Wednesday,41114,EU,3.6,3str,411,,,,,,,,,,,,
Wednesday,41120,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41122,EU,3.6,3str,411,,,,,,,,,,,,
Wednesday,41220,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41220,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41221,EU,3.6,3str,412,,,,,,,,,,,,
Wednesday,41320,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41330,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41330,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41400,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41412,EU,3.6,3str,414,,,,,,,,,,,,
Wednesday,41420,EU,3.6,2str,41,,,,,,,,,,,,
Wednesday,41432,EU,3.6,3str,414,,,,,,,,,,,,
Wednesday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42100,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42111,EU,3.6,3str,421,,,,,,,,,,,,
Wednesday,42120,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42210,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42220,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42240,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42300,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42320,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42330,EU,3.6,2str,42,,,,,,,,,,,,
Wednesday,42413,EU,3.6,3str,424,,,,,,,,,,,,
Wednesday,43110,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43110,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43130,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43132,EU,3.6,3str,431,,,,,,,,,,,,
Wednesday,43140,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43210,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43330,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43334,EU,3.6,3str,433,,,,,,,,,,,,
Wednesday,43340,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43430,EU,3.6,2str,43,,,,,,,,,,,,
Wednesday,43432,EU,3.6,3str,434,,,,,,,,,,,,
Wednesday,43434,EU,3.6,3str,434,,,,,,,,,,,,
Wednesday,44110,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44110,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44113,EU,3.6,3str,441,,,,,,,,,,,,
Wednesday,44120,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44130,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44240,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44313,EU,3.6,3str,443,,,,,,,,,,,,
Wednesday,44320,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44331,EU,3.6,3str,443,,,,,,,,,,,,
Wednesday,44340,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44340,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44410,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44420,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44432,EU,3.6,3str,444,,,,,,,,,,,,
Wednesday,44440,EU,3.6,2str,44,,,,,,,,,,,,
Wednesday,44440,EU,3.6,2str,44,,,,,,,,,,,,
Thursday,41140,EU,3.6,2str,41,,,,,,,,,,,,
Thursday,41312,EU,3.6,3str,413,,,,,,,,,,,,
Thursday,41344,EU,3.6,3str,413,,,,,,,,,,,,
Thursday,41421,EU,3.6,3str,414,,,,,,,,,,,,
Thursday,42000,EU,3.6,2str,42,,,,,,,,,,,,
Thursday,42124,EU,3.6,3str,421,,,,,,,,,,,,
Thursday,42143,EU,3.6,3str,421,,,,,,,,,,,,
Thursday,42212,EU,3.6,3str,422,,,,,,,,,,,,
Thursday,42411,EU,3.6,3str,424,,,,,,,,,,,,
Thursday,42412,EU,3.6,3str,424,,,,,,,,,,,,
Thursday,42434,EU,3.6,3str,424,,,,,,,,,,,,
Thursday,42441,EU,3.6,3str,424,,,,,,,,,,,,
Thursday,42443,EU,3.6,3str,424,,,,,,,,,,,,
Thursday,43144,EU,3.6,3str,431,,,,,,,,,,,,
Thursday,43231,EU,3.6,3str,432,,,,,,,,,,,,
Thursday,43243,EU,3.6,3str,432,,,,,,,,,,,,
Thursday,43320,EU,3.6,2str,43,,,,,,,,,,,,
Thursday,43331,EU,3.6,3str,433,,,,,,,,,,,,
Thursday,43443,EU,3.6,3str,434,,,,,,,,,,,,
Thursday,44233,EU,3.6,3str,442,,,,,,,,,,,,
Thursday,44242,EU,3.6,3str,442,,,,,,,,,,,,
Thursday,44322,EU,3.6,3str,443,,,,,,,,,,,,
Thursday,44323,EU,3.6,3str,443,,,,,,,,,,,,
